# Samples: 8K of event 'instructions'
# Event count (approx.): 555386358179
#
# Overhead       Samples  Symbol                                        Source:Line                                                                                      IPC   [IPC Coverage]
# ........  ............  ............................................  ...............................................................................................  ....................
#
     1.54%           107  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:969                                        -      -            
     1.50%           104  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1169                             -      -            
     1.50%           104  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:771                                              -      -            
     1.48%           103  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:874                                        -      -            
     1.47%           102  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:994                                        -      -            
     1.44%           100  [.] 0x0000000000044910                        spdk_nvme[44910]                                                                                 -      -            
     1.17%            81  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:845                                        -      -            
     0.91%            63  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:887                                        -      -            
     0.89%            62  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:878                                        -      -            
     0.89%            62  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:838                                        -      -            
     0.73%            51  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:890                                        -      -            
     0.68%            47  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:946                                        -      -            
     0.55%            38  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:982                                        -      -            
     0.55%            38  [.] 0x0000000000044914                        spdk_nvme[44914]                                                                                 -      -            
     0.52%            36  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:758                                              -      -            
     0.46%            32  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:839                                        -      -            
     0.39%            27  [.] __fio_gettime                             /home/zebin/fio/arch/arch-x86_64.h:34                                                            -      -            
     0.36%            25  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:849                                        -      -            
     0.32%            22  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:631                                              -      -            
     0.32%            22  [.] nvme_transport_qpair_process_completions  /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_transport.c:611                                          -      -            
     0.32%            22  [.] 0x0000000000044940                        spdk_nvme[44940]                                                                                 -      -            
     0.30%            21  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:953                                        -      -            
     0.17%            12  [.] add_slat_sample                           /home/zebin/fio/stat.c:2844                                                                      -      -            
     0.16%            11  [.] get_next_rand_offset                      /home/zebin/fio/io_u.c:80                                                                        -      -            
     0.14%            10  [.] __fio_gettime                             /home/zebin/fio/gettime.c:208                                                                    -      -            
     0.10%             7  [.] account_io_completion                     /home/zebin/fio/io_u.c:1892                                                                      -      -            
     0.07%             1  [k] link_path_walk.part.0.constprop.0         /mnt/sdb/zebin/linux_src_5_15_79_build/linux-5.15.79/./arch/x86/include/asm/word-at-a-time.h:61  -      -            
     0.07%             5  [.] __get_next_rand_offset.constprop.0        /home/zebin/fio/io_u.c:100                                                                       -      -            
     0.07%             5  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1040                             -      -            
     0.06%             9  [.] rte_eal_alarm_cancel                      ??:0                                                                                             -      -            
     0.06%             4  [.] __fio_gettime                             /home/zebin/fio/gettime.c:159                                                                    -      -            
     0.06%             4  [.] __fio_gettime                             /home/zebin/fio/gettime.c:206                                                                    -      -            
     0.06%             4  [.] spdk_vtophys                              /mnt/sdb/zebin/local/spdk/lib/env_dpdk/memory.c:639                                              -      -            
     0.06%             4  [.] get_io_u                                  /home/zebin/fio/io_u.c:1726                                                                      -      -            
     0.06%             4  [.] io_u_mark_submit                          /home/zebin/fio/io_u.c:1007                                                                      -      -            
     0.06%             4  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1165                             -      -            
     0.05%             8  [.] 0x00000000000006b8                        [vdso][6b8]                                                                                      -      -            
     0.04%             3  [.] spdk_vtophys                              /mnt/sdb/zebin/local/spdk/lib/env_dpdk/memory.c:637                                              -      -            
     0.04%             3  [.] ntime_since                               /home/zebin/fio/gettime.c:437                                                                    -      -            
     0.04%             3  [.] nvme_pcie_qpair_build_contig_request      /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1283                                       -      -            
     0.04%             3  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1647                                       -      -            
     0.04%             3  [.] put_io_u                                  /home/zebin/fio/io_u.c:795                                                                       -      -            
     0.04%             3  [.] io_completed                              /home/zebin/fio/io_u.c:2031                                                                      -      -            
     0.04%             3  [.] add_lat_sample                            /home/zebin/fio/stat.c:2844                                                                      -      -            
     0.04%             3  [.] td_io_queue                               /home/zebin/fio/ioengines.c:422                                                                  -      -            
     0.04%             3  [.] td_io_getevents                           /home/zebin/fio/ioengines.c:318                                                                  -      -            
     0.04%             3  [.] _nvme_ns_cmd_rw                           /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_internal.h:257                                           -      -            
     0.04%             3  [.] put_io_u                                  /home/zebin/fio/fio.h:832                                                                        -      -            
     0.04%             3  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1648                                       -      -            
     0.04%             3  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_internal.h:1381                                          -      -            
     0.04%             3  [.] log_io_u                                  /home/zebin/fio/iolog.c:43                                                                       -      -            
     0.04%             3  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:227                              -      -            
     0.04%             3  [.] td_io_queue                               /home/zebin/fio/ioengines.c:415                                                                  -      -            
     0.04%             3  [.] td_io_prep                                /home/zebin/fio/ioengines.c:270                                                                  -      -            
     0.04%             3  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1701                                       -      -            
     0.03%             2  [.] utime_since_now                           /home/zebin/fio/gettime.c:481                                                                    -      -            
     0.03%             2  [.] get_io_u                                  /home/zebin/fio/io_u.c:1318                                                                      -      -            
     0.03%             2  [.] io_u_mark_depth                           /home/zebin/fio/io_u.c:1044                                                                      -      -            
     0.03%             2  [.] io_completed                              /home/zebin/fio/io_u.c:2035                                                                      -      -            
     0.03%             2  [.] spdk_vtophys                              /mnt/sdb/zebin/local/spdk/lib/env_dpdk/memory.c:1503                                             -      -            
     0.03%             2  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1163                             -      -            
     0.03%             2  [.] get_next_rand_offset                      /home/zebin/fio/io_u.c:77                                                                        -      -            
     0.03%             2  [.] fio_gettime                               /home/zebin/fio/gettime.h:36                                                                     -      -            
     0.03%             2  [.] td_io_queue                               /home/zebin/fio/ioengines.c:377                                                                  -      -            
     0.03%             2  [.] add_lat_sample                            /home/zebin/fio/stat.c:2843                                                                      -      -            
     0.03%             2  [.] ramp_time_over                            /home/zebin/fio/time.c:122                                                                       -      -            
     0.03%             2  [.] td_io_queue                               /home/zebin/fio/ioengines.c:441                                                                  -      -            
     0.03%             2  [.] zbd_unaligned_write                       /home/zebin/fio/zbd.c:1680                                                                       -      -            
     0.03%             2  [.] __get_io_u                                /home/zebin/fio/io_u.c:1570                                                                      -      -            
     0.03%             2  [.] put_file_log                              /home/zebin/fio/io_u.c:788                                                                       -      -            
     0.03%             2  [.] add_clat_sample                           /home/zebin/fio/stat.c:70                                                                        -      -            
     0.03%             2  [.] account_io_completion                     /home/zebin/fio/io_u.c:1094                                                                      -      -            
     0.03%             2  [.] get_io_u                                  /home/zebin/fio/io_u.c:1778                                                                      -      -            
     0.03%             2  [.] nvme_pcie_qpair_submit_tracker            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:665                                        -      -            
     0.03%             2  [.] td_io_prep                                /home/zebin/fio/ioengines.c:281                                                                  -      -            
     0.03%             2  [.] _nvme_ns_cmd_rw                           /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns_cmd.c:388                                             -      -            
     0.03%             2  [.] thread_main                               /home/zebin/fio/backend.c:988                                                                    -      -            
     0.03%             2  [.] get_io_u                                  /home/zebin/fio/io_u.c:1811                                                                      -      -            
     0.03%             2  [.] thread_main                               /home/zebin/fio/backend.c:330                                                                    -      -            
     0.03%             2  [.] nvme_qpair_resubmit_requests              /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:645                                              -      -            
     0.03%             2  [.] td_io_prep                                /home/zebin/fio/ioengines.c:264                                                                  -      -            
     0.03%             2  [.] spdk_vtophys                              /mnt/sdb/zebin/local/spdk/lib/env_dpdk/memory.c:653                                              -      -            
     0.03%             2  [.] ntime_since                               /home/zebin/fio/gettime.c:447                                                                    -      -            
     0.03%             2  [.] put_file                                  /home/zebin/fio/filesetup.c:1891                                                                 -      -            
     0.03%             2  [.] td_io_queue                               /home/zebin/fio/ioengines.c:379                                                                  -      -            
     0.03%             2  [.] get_io_u                                  /home/zebin/fio/io_u.c:750                                                                       -      -            
     0.03%             2  [.] _nvme_qpair_submit_request                /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:1010                                             -      -            
     0.03%             2  [.] nvme_pcie_qpair_submit_tracker            /usr/lib/gcc/x86_64-linux-gnu/11/include/emmintrin.h:1510                                        -      -            
     0.03%             2  [.] get_next_rand_offset                      /home/zebin/fio/io_u.c:279                                                                       -      -            
     0.03%             2  [.] __get_io_u                                /home/zebin/fio/io_u_queue.h:21                                                                  -      -            
     0.03%             2  [.] __tls_get_addr                            ??:0                                                                                             -      -            
     0.03%             2  [.] io_u_mark_submit                          /home/zebin/fio/io_u.c:1005                                                                      -      -            
     0.03%             2  [.] td_io_queue                               /home/zebin/fio/ioengines.c:327                                                                  -      -            
     0.03%             2  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1043                             -      -            
     0.03%             2  [.] thread_main                               /home/zebin/fio/backend.c:606                                                                    -      -            
     0.03%             2  [.] __get_io_u                                /home/zebin/fio/io_u_queue.h:20                                                                  -      -            
     0.03%             2  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:703                                        -      -            
     0.03%             2  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:706                                        -      -            
     0.03%             2  [.] put_io_u                                  /home/zebin/fio/io_u.c:800                                                                       -      -            
     0.03%             2  [.] io_u_mark_submit                          /home/zebin/fio/io_u.c:1001                                                                      -      -            
     0.03%             2  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1027                             -      -            
     0.02%             1  [.] 0x000000000008d20d                        ??:0                                                                                             -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/ioengines.c:382                                                                  -      -            
     0.01%             1  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2123                                                                      -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:1809                                                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_internal.h:252                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:685                                        -      -            
     0.01%             1  [.] io_u_mark_complete                        /home/zebin/fio/io_u.c:1013                                                                      -      -            
     0.01%             1  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1128                             -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:1326                                                                      -      -            
     0.01%             1  [.] put_io_u                                  /home/zebin/fio/io_u_queue.h:33                                                                  -      -            
     0.01%             1  [.] 0x0000000000043bd4                        spdk_nvme[43bd4]                                                                                 -      -            
     0.01%             1  [.] add_clat_sample                           /home/zebin/fio/stat.c:2845                                                                      -      -            
     0.01%             1  [.] add_slat_sample                           /home/zebin/fio/stat.c:2845                                                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_tracker            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:654                                        -      -            
     0.01%             1  [.] log_io_u                                  /home/zebin/fio/iolog.c:55                                                                       -      -            
     0.01%             1  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_internal.h:268                                      -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:1315                                                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1693                                       -      -            
     0.01%             1  [.] __get_io_u                                /home/zebin/fio/io_u.c:1602                                                                      -      -            
     0.01%             1  [.] thread_main                               /home/zebin/fio/backend.c:438                                                                    -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1627                                       -      -            
     0.01%             1  [.] put_file_log                              /home/zebin/fio/io_u.c:790                                                                       -      -            
     0.01%             1  [.] thread_main                               /home/zebin/fio/backend.c:778                                                                    -      -            
     0.01%             1  [.] spdk_nvme_ns_cmd_read_with_md             /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns_cmd.c:633                                             -      -            
     0.01%             1  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1033                             -      -            
     0.01%             1  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2153                                                                      -      -            
     0.01%             1  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2089                                                                      -      -            
     0.01%             1  [.] spdk_fio_event                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1122                             -      -            
     0.01%             1  [.] _nvme_qpair_submit_request                /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:874                                              -      -            
     0.01%             1  [.] _nvme_ns_cmd_rw                           /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_internal.h:1268                                          -      -            
     0.01%             1  [.] __get_io_u                                /home/zebin/fio/io_u.c:1600                                                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_build_contig_request      /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1295                                       -      -            
     0.01%             1  [.] spdk_vtophys                              /mnt/sdb/zebin/local/spdk/lib/env_dpdk/memory.c:648                                              -      -            
     0.01%             1  [.] thread_main                               /home/zebin/fio/backend.c:791                                                                    -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/ioengines.c:359                                                                  -      -            
     0.01%             1  [.] __get_io_u                                /home/zebin/fio/io_u.c:1590                                                                      -      -            
     0.01%             1  [.] __get_io_u                                /home/zebin/fio/io_u.c:1582                                                                      -      -            
     0.01%             1  [.] __get_io_u                                /home/zebin/fio/io_u.c:1578                                                                      -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/fio.h:764                                                                        -      -            
     0.01%             1  [.] __fio_gettime                             /home/zebin/fio/gettime.c:160                                                                    -      -            
     0.01%             1  [.] td_io_getevents                           /home/zebin/fio/ioengines.c:310                                                                  -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:970                                                                       -      -            
     0.01%             1  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:746                                              -      -            
     0.01%             1  [.] get_next_rand_offset                      /home/zebin/fio/io_u.c:78                                                                        -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:911                                                                       -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:1274                                                                      -      -            
     0.01%             1  [.] add_slat_sample                           /home/zebin/fio/stat.c:3357                                                                      -      -            
     0.01%             1  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2087                                                                      -      -            
     0.01%             1  [.] spdk_vtophys                              /mnt/sdb/zebin/local/spdk/lib/env_dpdk/memory.c:1519                                             -      -            
     0.01%             1  [.] io_u_mark_complete                        /home/zebin/fio/io_u.c:1011                                                                      -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/ioengines.c:398                                                                  -      -            
     0.01%             1  [.] spdk_fio_event                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1123                             -      -            
     0.01%             1  [.] __get_io_u                                /home/zebin/fio/io_u.c:1589                                                                      -      -            
     0.01%             1  [.] io_u_mark_depth                           /home/zebin/fio/io_u.c:1043                                                                      -      -            
     0.01%             1  [.] spdk_fio_completion_cb                    /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:960                              -      -            
     0.01%             1  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1187                             -      -            
     0.01%             1  [.] ramp_time_over                            /home/zebin/fio/time.c:121                                                                       -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1624                                       -      -            
     0.01%             1  [.] account_io_completion                     /home/zebin/fio/io_u.c:1922                                                                      -      -            
     0.01%             1  [.] put_io_u                                  /home/zebin/fio/io_u.c:807                                                                       -      -            
     0.01%             1  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2129                                                                      -      -            
     0.01%             1  [.] thread_main                               /home/zebin/fio/backend.c:340                                                                    -      -            
     0.01%             1  [.] utime_since_now                           /home/zebin/fio/gettime.c:468                                                                    -      -            
     0.01%             1  [.] nvme_qpair_submit_request                 /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:1014                                             -      -            
     0.01%             1  [.] spdk_nvme_ns_get_extended_sector_size     /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns.c:276                                                 -      -            
     0.01%             1  [.] io_completed                              /home/zebin/fio/io_u.c:2019                                                                      -      -            
     0.01%             1  [.] io_u_queued                               /home/zebin/fio/io_u.c:2166                                                                      -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/ioengines.c:438                                                                  -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:1805                                                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_internal.h:278                                      -      -            
     0.01%             1  [.] _nvme_ns_cmd_rw                           /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns_cmd.c:166                                             -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1678                                       -      -            
     0.01%             1  [.] spdk_fio_queue                            /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1015                             -      -            
     0.01%             1  [.] get_next_rand_block                       /home/zebin/fio/io_u.c:328                                                                       -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/zbd.h:114                                                                        -      -            
     0.01%             1  [.] add_slat_sample                           /home/zebin/fio/stat.c:2837                                                                      -      -            
     0.01%             1  [.] queue_full                                /home/zebin/fio/io_u.c:1567                                                                      -      -            
     0.01%             1  [.] get_file                                  /home/zebin/fio/filesetup.c:1888                                                                 -      -            
     0.01%             1  [.] nvme_qpair_resubmit_requests              /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:653                                              -      -            
     0.01%             1  [.] in_ramp_time                              /home/zebin/fio/time.c:103                                                                       -      -            
     0.01%             1  [.] nvme_pcie_qpair_build_contig_request      /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1288                                       -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:749                                                                       -      -            
     0.01%             1  [.] account_io_completion                     /home/zebin/fio/io_u.c:1886                                                                      -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/ioengines.c:376                                                                  -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/ioengines.c:30                                                                   -      -            
     0.01%             1  [.] 0x00000000000458d0                        spdk_nvme[458d0]                                                                                 -      -            
     0.01%             1  [.] add_clat_sample                           /home/zebin/fio/stat.c:3307                                                                      -      -            
     0.01%             1  [.] put_file                                  /home/zebin/fio/filesetup.c:1927                                                                 -      -            
     0.01%             1  [.] ntime_since                               /home/zebin/fio/gettime.c:449                                                                    -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:953                                                                       -      -            
     0.01%             1  [.] __fio_gettime                             /home/zebin/fio/gettime.c:204                                                                    -      -            
     0.01%             1  [.] add_clat_sample                           /home/zebin/fio/stat.c:3272                                                                      -      -            
     0.01%             1  [.] __fio_gettime                             /home/zebin/fio/gettime.c:195                                                                    -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/fio.h:609                                                                        -      -            
     0.01%             1  [.] _nvme_ns_cmd_rw                           /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns_cmd.c:404                                             -      -            
     0.01%             1  [.] thread_main                               /home/zebin/fio/backend.c:325                                                                    -      -            
     0.01%             1  [.] account_io_completion                     /home/zebin/fio/io_u.c:1875                                                                      -      -            
     0.01%             1  [.] __get_io_u                                /home/zebin/fio/io_u.c:1605                                                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_tracker            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:636                                        -      -            
     0.01%             1  [.] io_completed                              /home/zebin/fio/io_u.c:2020                                                                      -      -            
     0.01%             1  [.] get_io_u                                  /home/zebin/fio/io_u.c:769                                                                       -      -            
     0.01%             1  [.] __fio_gettime                             /home/zebin/fio/gettime.c:193                                                                    -      -            
     0.01%             1  [.] account_io_completion                     /home/zebin/fio/io_u.c:1929                                                                      -      -            
     0.01%             1  [.] put_file_log                              /home/zebin/fio/io_u.c:792                                                                       -      -            
     0.01%             1  [.] _nvme_qpair_submit_request                /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:898                                              -      -            
     0.01%             1  [.] _nvme_ns_cmd_rw                           /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_internal.h:1283                                          -      -            
     0.01%             1  [.] lock_file                                 /home/zebin/fio/filesetup.c:1931                                                                 -      -            
     0.01%             1  [.] td_io_queue                               /home/zebin/fio/ioengines.c:423                                                                  -      -            
     0.01%             1  [.] io_u_mark_complete                        /home/zebin/fio/io_u.c:1014                                                                      -      -            
     0.01%             1  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1639                                       -      -            
     0.01%             1  [.] thread_main                               /home/zebin/fio/backend.c:431                                                                    -      -            
     0.01%             1  [.] io_completed                              /home/zebin/fio/io_u.h:169                                                                       -      -            
